STATION,ADDRESS,LOCALITY,ALTADDRESS,CREWING,LEVYTYPE,LONG,LAT
BIGGENDEN,22 GEORGE ST,BIGGENDEN,,A,Class D,152.046514058,-25.512081915
BILINGA,240 COOLANGATTA RD,BILINGA,,P,Class A,153.510126791,-28.1603955309999
BILOELA,190 CALLIDE ST,BILOELA,,A,Class D,150.50390482,-24.392444128
BLACKALL,125 SHAMROCK ST,BLACKALL,,A,Class D,145.46249153,-24.4232350689999
BLACKBUTT,72 HART ST,BLACKBUTT,,A,Class D,152.100849607,-26.8849027219999
BLACKWATER,2 WILGA ST,BLACKWATER,,A,Class D,148.878437145,-23.5786427849999
BOONAH,6 FARLEY ST,BOONAH,,A,Class D,152.681161722,-27.996403221
BOULIA,59 BURKE ST,BOULIA,,A,Class D,139.911845693,-22.907881769
BOWEN,44 GORDON ST,BOWEN,,C,Class B,148.240701109,-20.0132032659999
BOYNE ISLAND,6 GILBERT CT,BOYNE ISLAND,,A,Class D,151.352952527,-23.946909907
BRAMSTON BEACH,39 EVANS RD,BRAMSTON BEACH,,A,Class D,146.024807359,-17.3562391259999
BRIBIE ISLAND,10-12 FARADAY ST,BRIBIE ISLAND,,C,Class C,153.154127052,-27.063073693
BUDERIM,8 LINDSAY RD,BUDERIM,,A,Class A,153.050745665,-26.6849866539999
BUNDABERG,17-19 WOONGARRA ST,BUNDABERG,cnr Tantitha and Woongarra Sts,P,Class A,152.353874128,-24.865790075
BUNDAMBA,61 BRISBANE RD,BUNDAMBA,,P,Class A,152.814479282,-27.60744032
BURLEIGH HEADS,164 WEST BURLEIGH RD,BURLEIGH HEADS,,P,Class A,153.443290359,-28.099505821
BURNETT HEADS,BREWER ST,BURNETT HEADS,,A,Class D,152.410003103,-24.7637071029999
BURPENGARY,185 PITT ROAD,BURPENGARY,,P,Class A,152.976939729,-27.1696315899999
CABOOLTURE,54 LOWER KING ST,CABOOLTURE,,P,Class A,152.960892003,-27.085896396
CAIRNS,237-241 GATTON ST,CAIRNS,cnr Gatton And Brown Sts,P,Class A,145.750435491,-16.9284404649999
CAIRNS SOUTH,80-84 ROBERT RD,CAIRNS SOUTH,,P,Class A,145.735211537,-17.0035054099999
CALLIOPE,2 MENZIES ST,CALLIOPE,,A,Class D,151.200521866,-24.005487923
CALOUNDRA,18 INDUSTRIAL,CALOUNDRA WEST,,P,Class A,153.117960249,-26.79554422
CAMIRA,170 OLD LOGAN ROAD AND ALICE STREET,CAMIRA,,P,Class A,152.915660827,-27.61999816
CAMP HILL,112 FERGUSON RD,CAMP HILL,,P,Class A,153.078556162,-27.4880699829999
CANNON HILL,24 CORPORATE DR,CANNON HILL,,P,Class A,153.091321691,-27.467657716
CANUNGRA,FINCH RD,CANUNGRA,,A,Class D,153.165834845,-28.0172287189999
CAPALABA,223 MT COTTON RD,CAPALABA,,P,Class A,153.189535523,-27.5426671669999
CAPELLA,18 CONRAN ST,CAPELLA,,A,Class D,148.025230539,-23.0857039489999
CARDWELL,2 PANOS ST,CARDWELL,,A,Class D,146.02642086,-18.2666861349999
CECIL PLAINS,69 TAYLOR ST,CECIL PLAINS,,A,Class D,151.190185189,-27.5317615929999
CHARLEVILLE,96 GALATEA ST,CHARLEVILLE,,A,Class D,146.24158619,-26.40199266
CHARTERS TOWERS,204 GILL ST,QUEENTON,,C,Class C,146.265303503,-20.0772912259999
CHERBOURG,1 FISHER ST,CHERBOURG,,A,Class D,151.956741256,-26.2890705619999
CHERMSIDE,526 HAMILTON RD,CHERMSIDE,,P,Class A,153.023593918,-27.385162749
CHILDERS,LORD ST,CHILDERS,,A,Class D,152.280225461,-25.2349290509999
CHINCHILLA,20 VILLIERS ST,CHINCHILLA,,A,Class D,150.628859796,-26.7432906559999
CLERMONT,31 SIRIUS ST,CLERMONT,,A,Class D,147.641528907,-22.823970655
CLEVELAND,49 WELLINGTON ST,CLEVELAND,cnr Wellington and Russell Sts,P,Class A,153.255134809,-27.529013122
CLONCURRY,44 SCARR ST,CLONCURRY,,A,Class D,140.505990354,-20.7059790769999
COLLINSVILLE,29 GARRICK ST,COLLINSVILLE,,A,Class D,147.842129853,-20.5526543579999
COOCHIEMUDLO ISLAND,45 ELIZABETH ST,COOCHIEMUDLO ISLAND,,A,Class D,153.333490387,-27.569175991
COOKTOWN,115 HOPE ST,COOKTOWN,,A,Class D,145.251465081,-15.4682488739999
COOLUM,19 RUSSELL STREET,COOLUM,cnr Russell and Elizabeth Sts,A,Class D,153.087134486,-26.5288536159999
COORAN,50 QUEEN ST,COORAN,,A,Class D,152.833654659,-26.3366388009999
COOROY,16 MYALL ST,COOROY,,A,Class D,152.91077591,-26.420369117
CROWS NEST,28 CREEK ST,CROWS NEST,,A,Class D,152.056563976,-27.2623954589999
DALBY,21 NEW ST,DALBY,,A,Class D,151.266742421,-27.179643256
DAYBORO,27 BRADLEY ST,DAYBORO,,A,Class D,152.823019001,-27.19860518
DECEPTION BAY,26 ENDEAVOUR ST,DECEPTION BAY,,A,Class A,153.026806544,-27.184527659
DIMBULAH,1 RALEIGH ST,DIMBULAH,,A,Class D,145.1072535,-17.150645697
DIRRANBANDI,4 COWILDI ST,DIRRANBANDI,,A,Class D,148.223367459,-28.582633782
DUNWICH,2 MITCHELL CR,DUNWICH,,A,Class D,153.405313392,-27.4960006549999
DURACK,506 BLUNDER ROAD,DURACK,,P,Class A,152.985577673,-27.587205449
DYSART,27 QUEEN ELIZABETH DR,DYSART,,A,Class D,148.348214202,-22.589956499
EATONS HILL,3 EATONS CROSSING ROAD,WARNER,South Pine Rd,P,Class A,152.9603611,-27.336477628
EIDSVOLD,35 GOLDEN SPUR ST,EIDSVOLD,,A,Class D,151.12165901,-25.371444938
EL ARISH,7 RYRIE ST,EL ARISH,,A,Class D,146.00375688,-17.805596007
ELLIOTT HEADS,100 WELCH ST,ELLIOTT HEADS,,A,Class D,152.488538943,-24.908879939
EMERALD,2A ANDREWS RD,EMERALD,,A,Class D,148.172509377,-23.54447554
EMU PARK,87 HARTLEY ST,EMU PARK,cnr Hartley And Connor Sts,C,Class C,150.820089344,-23.2664651589999
ENOGGERA,236 LLOYD ST,ENOGGERA,,P,Class A,152.988817254,-27.425457407
ESK,12 HEAP ST,ESK,,A,Class D,152.420409656,-27.240703944
FOREST HILL,4 WILLIAM ST,FOREST HILL,,A,Class D,152.356346084,-27.588768632
FORREST BEACH,MAPLE ST,FORREST BEACH,,A,Class D,146.297287297,-18.707620381
GATTON,58 NORTH ST,GATTON,,C,Class C,152.278629621,-27.557692241
GAYNDAH,8 PINEAPPLE ST,GAYNDAH,,A,Class D,151.609339432,-25.62595916
GIN GIN,24 MULGRAVE ST,GIN GIN,,A,Class D,151.954638192,-24.989104195
GIRU,12 BROOKES ST,GIRU,cnr Walton And Brookes Sts,A,Class D,147.106898551,-19.5135657339999
GLADSTONE,3 CHARLES ST,WEST GLADSTONE,,P,Class A,151.249553562,-23.858417736
GLENDEN,6 BELL PL,GLENDEN,,A,Class D,148.118601811,-21.3579193149999
GOOMBUNGEE,4 KING ST,GOOMBUNGEE,,A,Class D,151.853443811,-27.3057001879999
GOOMERI,4 MOORE ST,GOOMERI,,A,Class D,152.067926002,-26.1795292219999
GOONDIWINDI,170  MARSHALL ST,GOONDIWINDI,,A,Class D,150.312549184,-28.547462185
GORDONVALE,105 NORMAN  ST,GORDONVALE,,C,Class C,145.786347282,-17.0943156349999
GRACEMERE,34 BLAND STREET,GRACEMERE,cnr Bland And Fisher Sts,A,Class A,150.456165618,-23.4439977129999
GYMPIE,6 BLIGH ST,GYMPIE,cnr Bligh St and Nelson Rd,P,Class A,152.668193382,-26.191914031
HALIFAX,5 ROSENDALE ST,HALIFAX,,A,Class D,146.286519824,-18.5844282969999
HARRISVILLE,50 QUEEN ST,HARRISVILLE,,A,Class D,152.668163346,-27.8110010199999
HELENSVALE,1 DISCOVERY DR,HELENSVALE,,P,Class A,153.337293726,-27.9213914589999
HELIDON,13 RAILWAY ST,HELIDON,,A,Class D,152.123225836,-27.5506846119999
HENDRA,451 NUDGEE RD,HENDRA,,P,Class A,153.074856276,-27.415249091
HERBERTON,43 GRACE ST,HERBERTON,,A,Class D,145.384595747,-17.383133124
HIGHFIELDS,49 O'BRIEN ROAD,HIGHFIELDS,cnr O'Brien Road and Community Court,A,Class A,151.947340854,-27.451009515
HOLLYWELL,318 BAYVIEW ST,HOLLYWELL,,P,Class A,153.3987472,-27.8953585089999
HOME HILL,83 TENTH AV,HOME HILL,,A,Class D,147.416042817,-19.660957594
HUGHENDEN,4 SWANSON ST,HUGHENDEN,cnr Swanson And McLaren Sts,A,Class D,144.19367336,-20.850256658
IMBIL,113 YABBA RD,IMBIL,,A,Class D,152.676503235,-26.4591018749999
INGLEWOOD,32 ALBERT ST,INGLEWOOD,,A,Class D,151.082618247,-28.413778587
INJUNE,58 RONALD ST,INJUNE,,A,Class D,148.562966123,-25.8453764069999
INNISFAIL,48 FITZGERALD ESPLANADE,INNISFAIL,,C,Class B,146.030864984,-17.521628778
JIMBOOMBA,22-24 JOHANNA ST,JIMBOOMBA,,A,Class D,153.025049937,-27.8290843139999
KALBAR,66 GEORGE ST,KALBAR,,A,Class D,152.623832753,-27.9407701609999
KARANA DOWNS,2 COLLEGE RD,KARANA DOWNS,,P,Class A,152.80691983,-27.5522701309999
KAWANA,194 NICKLIN WAY,WARANA,,A,Class A,153.12914257,-26.72109237
KEMP PLACE,21 MARTIN STREET,FORTITUDE VALLEY,,P,Class A,153.03577951,-27.4606173569999
KENILWORTH,10 PHILLIP ST,KENILWORTH,,A,Class D,152.726684278,-26.594653691
PULLENVALE,6 PULLENVALE RD,PULLENVALE,,P,Class A,152.921517952,-27.521419269
KILCOY,17 MCCAULEY ST,KILCOY,,A,Class D,152.565004267,-26.941277909
KILKIVAN,22 BLIGH ST,KILKIVAN,,A,Class D,152.240717284,-26.0859151349999
KILLARNEY,29 IVY ST,KILLARNEY,,A,Class D,152.297039838,-28.332915138
KINGAROY,25 EDWARD STREET,KINGAROY,cnr Edward and Kent Sts,A,Class C,151.839431895,-26.5369678769999
KIPPA RING,66 BOARDMAN ROAD,KIPPA RING,,P,Class A,153.08787596,-27.2192896889999
KIRWAN,84 THURINGOWA DRIVE,THURINGOWA CENTRAL,,P,Class A,146.731223865,-19.309386332
KOORALBYN,SALISBURY,KOORALBYN,,A,Class D,152.842055079,-28.085723048
KUMBIA,16 GORDON ST,KUMBIA,,A,Class D,151.651846525,-26.69170457
KURANDA,10 COONDOO ST,KURANDA,,A,Class D,145.63429103,-16.8206945809999
KURRIMINE BEACH,MURDERING PT RD,KURRIMINE BEACH,,A,Class D,146.101409927,-17.7733979889999
LAIDLEY,56 WILLIAM ST,LAIDLEY,,A,Class D,152.397548256,-27.6317622139999
LOGANLEA,739 KINGSTON RD,WATERFORD WEST,cnr Kingston and Logan Reserve Rds,P,Class A,153.121460918,-27.682484685
LONGREACH,134 EAGLE ST,LONGREACH,,A,Class D,144.247923031,-23.4441820399999
LOWOOD,52 MAIN ST,LOWOOD,,A,Class D,152.581380085,-27.4606561219999
MACKAY,90 SYDNEY ST,MACKAY,Corner Alfred And Sydney Sts,P,Class A,149.186226173,-21.1458295209999
MAGNETIC ISLAND,54 KELLY ST,NELLY BAY,,A,Class D,146.845417906,-19.1563576149999
MALANDA,23 JAMES ST,MALANDA,,A,Class D,145.595402698,-17.353021623
MALENY,63 BUNYA ST,MALENY,,A,Class D,152.855732285,-26.765263282
MARBURG,75 EDMOND ST,MARBURG,,A,Class D,152.595685179,-27.565705449
MAROOCHYDORE,CLAREMONT ST,MAROOCHYDORE,,P,Class A,153.065120387,-26.662585243
MARYBOROUGH,98 ALICE ST,MARYBOROUGH,cnr Alice and Lennox Sts,P,Class A,152.698442744,-25.540276982
MEANDARRA,"LOT 2, OLSER ST",MEANDARRA,cnr  Payne and Olser Sts,A,Class D,149.88065218,-27.3231548639999
MIDDLEMOUNT,85 CENTENARY DR,MIDDLEMOUNT,,A,Class D,148.70240583,-22.8080859469999
MILES,46 MARIAN ST,MILES,,A,Class D,150.187420495,-26.658738571
MILLAA MILLAA,1 MAPLE ST,MILLAA MILLAA,,A,Class D,145.612890382,-17.511867159
MILLMERRAN,2 ATTLEIGH ST,MILLMERRAN,,A,Class D,151.268537682,-27.873735026
MIRIAM VALE,65 ROE ST,MIRIAM VALE,,A,Class D,151.554947883,-24.326935874
MISSION BEACH,4 WEBB RD,MISSION BEACH,,A,Class D,146.092172616,-17.9047530039999
MITCHELL,66 MARY ST,MITCHELL,,A,Class D,147.977511719,-26.486178915
MONTO,15 KELVIN ST,MONTO,,A,Class D,151.123110519,-24.8656314319999
MOOLOOLAH,69 KING ROAD,MOOLOOLAH,,A,Class D,152.958649613,-26.7658285479999
MORANBAH,13 GRIFFIN ST,MORANBAH,,A,Class D,148.045197389,-22.0007017459999
MORVEN,29-31 EURELLA ST,MORVEN,,A,Class D,147.112492082,-26.4162375949999
MOSSMAN,11 THOMAS ST,MOSSMAN,,A,Class D,145.376196812,-16.4603331389999
MOUNT ISA,35 WEST ST,MOUNT ISA CITY,cnr West And Helen Sts,P,Class A,139.49004193,-20.723698837
MOUNT MORGAN,32 MORGAN ST,MOUNT MORGAN,,C,Class C,150.386588159,-23.645752627
MOUNT OMMANEY,238 ARRABRI AV,MOUNT OMMANEY,,P,Class A,152.936432248,-27.548069636
MOUNT TAMBORINE,126 MAIN WESTERN RD,TAMBORINE MOUNTAIN,,A,Class D,153.180429102,-27.9363952209999
MOURA,7 GILCHRIST ST,MOURA,,A,Class D,149.974590057,-24.5705309149999
MUNDUBBERA,31 BAUER ST,MUNDUBBERA,,A,Class D,151.301769132,-25.5907332319999
MURGON,62 GORE ST,MURGON,,A,Class D,151.94054602,-26.2431854779999
NAMBOUR,678 BLI BLI  RD,NAMBOUR,,P,Class A,152.972040179,-26.6168784189999
NANANGO,14 ALFRED ST,NANANGO,,A,Class D,151.998618359,-26.672493765
NERANG,139 BEAUDESERT-NERANG RD,NERANG,,P,Class A,153.325171544,-27.9930440059999
NOOSA HEADS,2 LANGURA ST,NOOSA HEADS,Unit 4 Leo Alley Road (Temp location end 19/12/11),P,Class A,153.090456279,-26.4080556759999
NORTH MACKAY,49 BEACONSFIELD RD,NORTH MACKAY,,P,Class A,149.166081024,-21.09971904
NORTH ROCKHAMPTON,753 YAAMBA ROAD,PARKHURST,,P,Class A,150.515814332,-23.3145022379999
OAKEY,5 DESMOND ST,OAKEY,,A,Class D,151.722520189,-27.4335087389999
PETRIE,4-6 YOUNG ST,PETRIE,,P,Class A,152.978720508,-27.2687155689999
CRAIGNISH,67 CASTLES ROAD,CRAIGNISH,,A,Class A,152.726828813,-25.2819098689999
PITTSWORTH,3 MURRAY ST,PITTSWORTH,,A,Class D,151.636789748,-27.7157402669999
POINT LOOKOUT,85 EAST COAST ROAD,POINT LOOKOUT,,A,Class D,153.519992477,-27.426457614
PORT DOUGLAS,5 PORT DOUGLAS RD,PORT DOUGLAS,,A,Class C,145.463146173,-16.499084895
PROSERPINE,102 MAIN ST,PROSERPINE,,A,Class D,148.584072652,-20.402467046
PROSTON,14 COLLINGWOOD ST,PROSTON,,A,Class D,151.603053503,-26.1646645599999
QUILPIE,61 PEGLER ST,QUILPIE,,A,Class D,144.267089937,-26.6194068789999
RAINBOW BEACH,25 RAINBOW BEACH ROAD,RAINBOW BEACH,,A,Class D,153.090715055,-25.9054090989999
RATHDOWNEY,RUNNING CREEK RD,RATHDOWNEY,,A,Class D,152.865233628,-28.2108031289999
RAVENSHOE,16 THETA ST,RAVENSHOE,,A,Class D,145.486930743,-17.609635937
REDLAND BAY,33 GORDON ROAD,REDLAND BAY,,P,Class A,153.289047857,-27.6108973459999
RICHMOND,43 GOLDRING ST,RICHMOND,,A,Class D,143.140799491,-20.7277191439999
ROBINA,54 INVESTIGATOR DR,ROBINA,,P,Class A,153.377519069,-28.0756437159999
ROCKHAMPTON,113 KENT ST,ROCKHAMPTON,,P,Class A,150.508242618,-23.379495584
ROCKLEA,93 MEDWAY ST,ROCKLEA,,P,Class A,153.00701914,-27.5414890669999
ROMA,41 MCDOWALL ST,ROMA,,A,Class D,148.79256833,-26.57180256
ROMA STREET,279 UPPER ROMA ST,BRISBANE CITY,,P,Class A,153.015391376,-27.465815988
ROSEWOOD,70 JOHN ST,ROSEWOOD,,A,Class D,152.59127674,-27.637827541
SANDGATE,124 BRIGHTON RD,SANDGATE,,P,Class A,153.066412158,-27.3165012759999
SARINA,12 ANZAC ST,SARINA,,A,Class D,149.21406722,-21.4207375249999
SMITHFIELD,12 LESLEY ST,SMITHFIELD,,P,Class A,145.692579069,-16.830112711
SOUTHPORT,229 NERANG RD,SOUTHPORT,cnr Prince St and Nerang Rd,P,Class A,153.395819536,-27.974870617
SPRINGSURE,52 WOOD ST,SPRINGSURE,,A,Class D,148.090274274,-24.1174487339999
ST GEORGE,37-39 HENRY ST,ST GEORGE,,A,Class D,148.58260954,-28.036922768
STANTHORPE,54 LOCK ST,STANTHORPE,,A,Class D,151.934651315,-28.654183384
SURAT,45 CORDELIA ST,SURAT,,A,Class D,149.067579537,-27.1565736539999
SURFERS PARADISE,2794 GOLD COAST HWY,SURFERS PARADISE,,P,Class A,153.428806891,-28.019159518
TAIGUM,263 BEAMS ROAD,TAIGUM,,P,Class A,153.04651308,-27.351005557
TARA,21 FRY ST,TARA,cnr Fry And Smallcombe Sts,A,Class D,150.459860834,-27.278258614
TARINGA,26 WHITMORE ST,TARINGA,,P,Class A,152.987107482,-27.491368354
TAROOM,12 KINNOUL ST,TAROOM,,A,Class D,149.796296504,-25.63998879
TEWANTIN,2 HILTON ESP,TEWANTIN,,A,Class A,153.043839058,-26.396322686
TEXAS,16 ST JOHN ST,TEXAS,,A,Class D,151.167551673,-28.8525472539999
THANGOOL,25 STANLEY ST,THANGOOL,,A,Class D,150.574595067,-24.4878226119999
THEODORE,31 FIFTH AV,THEODORE,,A,Class D,150.076569496,-24.9479174269999
THURSDAY ISLAND,NEVILLE GULLY RD,THURSDAY ISLAND,,C,Class C,142.222278202,-10.577056311
TIERI,3 MALVERN AV,TIERI,,A,Class D,148.344908642,-23.037773301
TIN CAN BAY,"LOT 1, SNAPPER CREEK RD",TIN CAN BAY,,A,Class D,152.995366295,-25.926271339
TOOGOOLAWAH,20 CRESSBROOK ST,TOOGOOLAWAH,,A,Class D,152.377866365,-27.086726637
TOOWOOMBA,11 KITCHENER ST,TOOWOOMBA,,P,Class A,151.959897321,-27.5643882689999
TORQUAY,227 TORQUAY TCE,TORQUAY,,P,Class A,152.865613023,-25.287145982
TOWNSVILLE,2-8 MOREY ST,TOWNSVILLE,,P,Class A,146.820588566,-19.263195895
TULLY,LOT 600 MURRAY ST,TULLY,,A,Class D,145.928388793,-17.933202294
WALKERSTON,21 DUTTON ST,WALKERSTON,,A,Class A,149.068545327,-21.1610937309999
WALLANGARRA,53 MARGETTS ST,WALLANGARRA,,A,Class D,151.931455633,-28.9203936279999
WALLAVILLE,9 MILL ST,WALLAVILLE,,A,Class D,151.995036566,-25.074983792
WALLUMBILLA,34 MAY ST,WALLUMBILLA,,A,Class D,149.186271478,-26.5878173579999
WANDOAN,51 NORTH ST,WANDOAN,Corner North And Waterloo Sts,A,Class D,149.96093154,-26.1182120359999
WARWICK,23 CANNING ST,WARWICK,,C,Class B,152.03699838,-28.215770585
WEST LOGAN,2 ORR CRT,HILLCREST,,P,Class A,153.030173974,-27.678159937
WINDSOR,7 TRURO ST,WINDSOR,cnr Truro and Fosbery Sts,P,Class A,153.033196368,-27.427715281
WINTON,69 VINDEX ST,WINTON,,A,Class D,143.038337004,-22.3872393889999
WISHART,203 DAWSON RD,WISHART,cnr Dawson And Newnham Roads,P,Class A,153.090669946,-27.555077132
WONDAI,82 MACKENZIE ST,WONDAI,,A,Class D,151.873016595,-26.319253293
WOODFORD,2366 D'AGUILAR HIGHWAY,WOODFORD,,A,Class D,152.780373948,-26.96345386
WOODLANDS,1 ABATTOIR ROAD,WOODLANDS,,P,Class A,146.709546758,-19.264696038
WOODRIDGE,95 KINGSTON RD,WOODRIDGE,,P,Class A,153.116940034,-27.6268238989999
WOOROOLIN,45 ALEXANDER ST,WOOROOLIN,Bunya Hwy,A,Class D,151.815236792,-26.4098376279999
WULGURU,171 STUART DR,WULGURU,,P,Class A,146.81437861,-19.319617496
WYNNUM,2006 WYNNUM RD,WYNNUM WEST,,P,Class A,153.153375808,-27.456218097
YARRAMAN,12 BROWNE ST,YARRAMAN,,A,Class D,151.982728173,-26.8415120499999
YELARBON,32 TALOOM ST,YELARBON,,A,Class D,150.754109991,-28.572300373
YEPPOON,16 MCBEAN ST,YEPPOON,,C,Class C,150.737120978,-23.140665902
YUNGABURRA,39 EACHAM RD,YUNGABURRA,,A,Class D,145.585511949,-17.2700186019999
RIPLEY,338-396 RIPLEY RD,RIPLEY,,P,Class A,152.779816014,-27.6592934619999
BRASSALL,DIAMENTINA BOULEVARD,BRASSALL,,P,CLASS A,152.7247,-27.5851
BOLLON,56-58 MAIN ST,BOLLON,,A,Class D,147.476560727,-28.0317139219999
CLIFTON,KING ST,CLIFTON,,A,Class D,151.90617523,-27.926082159
CUNNAMULLA,1 EMMA STREET,CUNNAMULLA,,A,Class D,145.684561644,-28.06796539
JANDOWAE,55 HIGH ST,JANDOWAE,,A,Class D,151.11062182,-26.781747842
JULIA CREEK,66 BURKE ST,JULIA CREEK,,A,Class D,141.742958203,-20.6576198299999
MAREEBA,20 MAMMINO ST,MAREEBA,,C,Class B,145.425568072,-17.0111626
POMONA,9-13 RESERVE ST,POMONA,,A,Class D,152.854648864,-26.36533214
INGHAM,15 ELEANOR STREET,INGHAM,,C,Class B,146.162541217,-18.6496010939999
